,index,entity_name,model_output
174,174,height,7.8 in / 20.0 cm
175,175,width,14cm
176,176,item_weight,360SW
177,177,depth,59.10 inches
178,178,maximum_weight_recommendation,20 pounds
179,179,depth,3.0 cm
180,180,width,5.9 in / 15 cm
181,181,item_weight,908 g
182,182,height,14.5 cm
183,183,wattage,180 watts
184,184,voltage,180V
185,185,item_weight,140g
186,186,width,5.08cm
187,187,depth,5.08cm
188,188,height,2.7 in / 7.0 cm
189,189,depth,28.0 cm
190,190,item_weight,3.5 OZ
191,191,depth,61 cm
192,192,height,61 cm
193,193,item_weight,6.2 LBS
194,194,height,127.5 cm
195,195,height,33.3cm
196,196,width,33.3cm
197,197,maximum_weight_recommendation,401lb
198,198,item_weight,33 grams
199,199,item_weight,2.8 oz
200,200,height,37.5cm
201,201,depth,37.5cm
202,202,width,37.5cm
203,203,height,13.2 in
204,204,depth,13.2 in
205,205,wattage,1700W
206,206,voltage,1700W
207,207,height,11in
208,208,item_weight,226 g
209,209,item_weight,11.8kg
210,210,depth,85.7mm
211,211,item_weight,The item_weight of the item is 100g.
212,212,height,128cm
213,213,voltage,5.2V
214,214,width,151.5 cm
215,215,height,151.5 cm
216,216,voltage,12V
217,217,wattage,12V
218,218,item_weight,12V
219,219,item_weight,The image does not provide the item_weight of the item.
220,220,depth,20.6 cm
221,221,height,20.6 cm
222,222,height,43.18cm
223,223,item_weight,50.7 lbs
224,224,depth,3ft
225,225,width,3ft wide
226,226,height,19.5cm
227,227,item_weight,4 oz
228,228,maximum_weight_recommendation,37 pounds (16.8 kg)
229,229,wattage,400 watts
230,230,voltage,400V
231,231,height,23.5 cm
232,232,item_weight,364G
233,233,width,70 cm
234,234,depth,70 cm
235,235,width,"75.6"""
236,236,width,72 cm
237,237,width,183 cm
238,238,depth,183 cm
239,239,height,31.5 cm
240,240,width,60 cm
241,241,height,130 cm
242,242,height,7cm
243,243,depth,21.5cm
244,244,depth,7.4 in
245,245,depth,7.6 cm
246,246,width,7.6 cm
247,247,height,27.76 in
248,248,width,60 cm
249,249,width,4.6 in
250,250,depth,4.6 in / 11.7 cm
251,251,width,W65cm
252,252,item_weight,125g
253,253,item_volume,40 ml
254,254,depth,55 cm
255,255,depth,16cm
256,256,height,16cm
257,257,width,16cm
258,258,width,205 cm
259,259,depth,205 cm
260,260,maximum_weight_recommendation,135 LBS TOP
261,261,item_weight,"135 LBS TOP
33 LBS DRAWERS"
262,262,width,80 cm
263,263,width,"41"""
264,264,height,"39"""
265,265,height,2.55 in
266,266,depth,2.3 in / 6 cm
267,267,height,29.5 cm
268,268,width,8 cm
269,269,depth,8 cm
270,270,height,5.90 in / 15 cm
271,271,width,2.75 inches
272,272,depth,5.90 in / 15 cm
273,273,item_weight,500g
274,274,height,6.4 in
275,275,depth,6.4 in
276,276,item_weight,NET WT 10 OZ (283 g)
277,277,wattage,6.2W
278,278,voltage,6.2V
279,279,depth,8.2 in / 21 cm
280,280,height,8.2 in / 21 cm
281,281,item_weight,180G
282,282,depth,5.8 in
283,283,width,5.8 in
284,284,item_weight,100g
285,285,height,17cm
286,286,width,27 cm
287,287,voltage,12V
288,288,depth,"3.5"""
289,289,height,"8"""
290,290,item_weight,1.6 OZ (45g)
291,291,height,39cm
292,292,depth,9cm
293,293,maximum_weight_recommendation,120kg
294,294,depth,2.55 in / 6.5 cm
295,295,width,2.55 in
296,296,width,"73.62"""
297,297,height,"63"""
298,298,wattage,6 in.
299,299,voltage,6 in.
300,300,voltage,4.5V
301,301,voltage,220V
302,302,wattage,220W
303,303,item_weight,The item weight is not provided in the image.
304,304,depth,1.2cm
305,305,depth,300mm
306,306,item_weight,500g
307,307,height,21.8 in
308,308,item_weight,45 lb
309,309,depth,0.9 in / 2.2 cm
310,310,width,1.8 in
311,311,width,80 cm
312,312,item_weight,3.75Lbs
313,313,item_weight,700g
314,314,depth,5.0cm
315,315,height,5.0cm / 1.96in
316,316,width,5.0cm
317,317,depth,15.2CM
318,318,width,15.2CM
319,319,item_weight,1.7kg
320,320,height,7.5cm
321,321,depth,20cm
322,322,height,11in
323,323,voltage,180V
324,324,wattage,180 watts
325,325,depth,11.5cm
326,326,height,15.5cm
327,327,depth,7CM
328,328,height,7CM
329,329,width,7CM
330,330,item_weight,6 oz
331,331,item_weight,5900g
332,332,depth,15cm
333,333,height,15.72in
334,334,voltage,120W
335,335,wattage,120W
336,336,item_volume,40ml
337,337,height,4.9 in / 12.5 cm
338,338,depth,4.9 in
339,339,wattage,2000W
340,340,voltage,24V
341,341,item_weight,200g
342,342,height,25cm
343,343,depth,25cm
344,344,width,25cm
345,345,width,120cm
346,346,width,8.5cm
347,347,depth,8.5cm
348,348,height,17cm
349,349,item_weight,14 TB
350,350,depth,2.8 inch
351,351,width,2.8 inch
352,352,depth,10CM
353,353,height,16CM
354,354,item_volume,1 Count
355,355,depth,12 inch
356,356,height,12 inch
357,357,depth,3.1 in
358,358,width,3.1 in
359,359,item_weight,0.5 oz (14.2 g)
360,360,depth,0.78 in
361,361,width,0.59 in
362,362,item_weight,1050 g
363,363,maximum_weight_recommendation,800 lb
364,364,height,74cm
365,365,height,"55 cm (21.5"")"
366,366,width,35 cm
367,367,depth,"55 cm (21.5"")"
368,368,item_volume,12 fl oz
369,369,width,175 cm
370,370,width,25.5 cm
371,371,height,190 cm
372,372,item_volume,19 FL. OZ.
373,373,height,7.00 in
374,374,width,4.0 cm
375,375,height,30 cm
376,376,item_weight,3 kg
377,377,wattage,12V
378,378,voltage,12V
379,379,depth,2.4 in
380,380,height,6.1 cm
381,381,width,4.7 in
382,382,height,60 cm
383,383,item_weight,18 g (0.63 oz)
384,384,voltage,24V
385,385,wattage,24W
386,386,depth,14cm
387,387,width,14cm
388,388,voltage,1.5V
389,389,height,"31.4"""
390,390,item_volume,12 FL OZ (355 ml)
391,391,width,100 cm
392,392,height,40 cm
393,393,depth,11.5cm
394,394,width,11.5cm
395,395,height,11.5cm
396,396,maximum_weight_recommendation,12lbs
397,397,item_weight,2 OZ
398,398,depth,15 cm
399,399,height,15 cm
400,400,width,15 cm
401,401,item_volume,12 fl oz
402,402,item_weight,228.8g
403,403,height,120cm
404,404,width,22.2cm
405,405,height,22.2cm
406,406,wattage,24VAC 60W
407,407,voltage,24V
408,408,voltage,30V
409,409,width,23.5 cm
410,410,depth,23.5 cm
411,411,height,13.5 cm
412,412,height,146cm
413,413,width,290.5mm
414,414,wattage,The image does not provide the wattage of the item.
415,415,item_weight,5 kg
416,416,voltage,The image does not provide any information about the voltage of the item.
417,417,item_weight,500g
418,418,depth,8.3 in / 21.0 cm
419,419,height,8.3 in / 21.0 cm
420,420,item_volume,16 fl oz
421,421,wattage,15.6 W
422,422,voltage,15.6V
423,423,height,27 in
424,424,depth,27 in
425,425,width,27 in
426,426,item_weight,250g
427,427,width,7 cm
428,428,depth,3.14 in
429,429,height,3.14 in
430,430,depth,23 cm
431,431,width,54 cm
432,432,depth,10.2cm
433,433,width,102cm
434,434,depth,3.1 in / 8 cm
435,435,width,3.9 in / 10 cm
436,436,item_weight,5000 mAh
437,437,depth,10cm
438,438,width,20cm
439,439,width,144mm
440,440,depth,48mm
441,441,item_weight,1500W
442,442,voltage,220V
443,443,wattage,220V
444,444,item_weight,220V
445,445,wattage,60 W
446,446,voltage,220V
447,447,maximum_weight_recommendation,20g
448,448,item_weight,20g
449,449,width,42cm
450,450,width,30 cm
451,451,maximum_weight_recommendation,The image does not provide a maximum weight recommendation for the item.
452,452,width,51cm
453,453,width,120 cm
454,454,width,101 cm
455,455,depth,3.74 in
456,456,height,3.74 in
457,457,height,6.29 in / 16 cm
458,458,depth,8.26 in / 21 cm
459,459,height,175 cm
460,460,depth,175 cm
461,461,height,60 cm
462,462,depth,60 cm
463,463,width,60 cm
464,464,voltage,The voltage of the item is not provided in the image.
465,465,wattage,The image does not provide any information about wattage.
466,466,item_weight,10 LB
467,467,item_volume,33 FL OZ (1 L)
468,468,item_weight,3.5 OZ
469,469,depth,15.35 in / 39 cm
470,470,height,15.35 in / 39 cm
471,471,item_weight,73 Watts (Excl. Lights)
472,472,wattage,73 Watts (Excl. Lights)
473,473,voltage,73 Watts (Excl. Lights)
474,474,width,60 cm
475,475,depth,33 cm
476,476,width,33 cm
477,477,height,33 cm
478,478,width,11cm
479,479,maximum_weight_recommendation,132lbs
480,480,item_weight,1 lb (16 oz)
481,481,item_volume,12 FL OZ (355 ML)
482,482,width,175 cm
483,483,width,57 cm
484,484,width,30CM
485,485,depth,30CM
486,486,height,30CM
487,487,depth,3.9 in
488,488,width,3.9 in
489,489,height,5.9 in / 15.0 cm
490,490,height,80 cm
491,491,width,80 cm
492,492,width,12mm
493,493,depth,12mm
494,494,height,12mm
495,495,item_volume,20 PPM 4 FL OZ (1 L)
496,496,depth,1.41 in
497,497,width,1.41 in
498,498,depth,8.7 cm
499,499,height,8.7 cm
500,500,height,109.5cm
501,501,voltage,5V-2.0A
502,502,width,12 in
503,503,depth,12 in
504,504,item_weight,126g
505,505,item_volume,1 L
506,506,height,44cm
507,507,width,44cm
508,508,depth,7.0 in
509,509,width,7.0 in
510,510,height,77 cm
511,511,height,77 cm
512,512,item_weight,23 pounds
513,513,width,40 cm
514,514,item_weight,15g
515,515,maximum_weight_recommendation,75Kg/10g
516,516,width,2.5 cm
517,517,depth,2.5 cm
518,518,height,20 mm
519,519,voltage,The image does not provide any information about the voltage of the item.
520,520,width,28.96 cm
521,521,height,39.3 in
522,522,width,74 in
523,523,width,67 cm
524,524,depth,3.5 in
525,525,height,9.0 cm
526,526,width,3.5 in
527,527,depth,7.07 in
528,528,width,21.2 in
529,529,depth,21.2 in
530,530,depth,2.1 in / 5.5 cm
531,531,height,14.2 cm
532,532,item_weight,150g
533,533,item_weight,3.75 lbs
534,534,height,157 cm
535,535,item_weight,500g
536,536,height,60 cm
537,537,width,349 cm
538,538,item_weight,25 gm
539,539,depth,1.5mm
540,540,item_volume,30 mL
541,541,depth,21mm
542,542,depth,3.5 in
543,543,height,9.0 cm
544,544,item_weight,The item weight is not provided in the image.
545,545,width,33.02cm
546,546,depth,33.02cm
547,547,height,60.96 cm
548,548,voltage,DC 12V
549,549,height,100 cm
550,550,depth,60 cm
551,551,depth,5.9 in
552,552,height,9.8 in
553,553,item_weight,400g
554,554,depth,3.4 in
555,555,height,21 in / 53 cm
556,556,depth,"4"""
557,557,width,"4"""
558,558,width,2.3 in
559,559,maximum_weight_recommendation,25kg
560,560,item_weight,12 OZ.
561,561,voltage,10V/30mA
562,562,depth,8.65 in / 22.0 cm
563,563,height,8.65 in / 22.0 cm
564,564,depth,0.20CM
565,565,item_weight,31 OZ
566,566,item_weight,3kg
567,567,item_weight,The image does not provide any information about the weight of the items.
568,568,item_weight,2.0 oz
569,569,width,15cm
570,570,depth,10cm
571,571,height,170cm
572,572,voltage,The image does not provide any information about voltage.
573,573,item_weight,16oz
574,574,item_volume,11.8 FL OZ
575,575,item_weight,88 OZ
576,576,item_weight,3.3 kg
577,577,width,7.8 in
578,578,depth,7.8 in
579,579,width,60 cm
580,580,depth,140 cm
581,581,height,"36.93"""
582,582,depth,"36.93"""
583,583,voltage,300 W
584,584,wattage,300 W
585,585,item_weight,300 W
586,586,item_weight,100 g / 3.52 oz
587,587,maximum_weight_recommendation,2000g
588,588,item_weight,20LB
589,589,item_weight,8.2 fl oz
590,590,item_weight,The item_weight of the item is 7700g.
591,591,item_weight,1 TB
592,592,height,26 cm
593,593,depth,54cm
594,594,width,54cm
595,595,width,10.8 in
596,596,depth,10.8 in
597,597,wattage,25.3 V
598,598,voltage,25.9 V
599,599,item_weight,2.5 kg
600,600,item_weight,The image does not provide any information about the item_weight of the item.
601,601,item_weight,The image does not provide any information about the item_weight of the product.
602,602,item_volume,2.50 FL OZ
603,603,width,30 cm
604,604,depth,0.9 in
605,605,width,0.9 inch
606,606,height,0.9 inch
607,607,wattage,80W
608,608,voltage,12V
609,609,width,30 cm
610,610,height,171 cm
611,611,height,54.99 cm
612,612,width,"16"""
613,613,depth,"50"""
614,614,item_weight,The image does not provide any information about the item_weight.
615,615,wattage,24V
616,616,voltage,24V
617,617,item_weight,2.65lbs
618,618,depth,26 cm
619,619,width,26 cm
620,620,item_weight,3.54in
621,621,wattage,25W
622,622,depth,3.9 in / 10 cm
623,623,height,7.8 in / 20 cm
624,624,depth,2.8 in
625,625,width,2.8 in
626,626,item_weight,The image does not provide the item_weight of the baseball leg guard.
627,627,height,35 cm
628,628,width,80 cm
629,629,height,70.1 inches
630,630,item_weight,The image does not provide the item_weight of the golf club.
631,631,depth,90 cm
632,632,depth,"5"""
633,633,width,"5"""
634,634,depth,27 cm
635,635,height,27 cm
636,636,height,56 cm
637,637,height,16.5 inches
638,638,height,30 IN
639,639,depth,"5 1/4"""
640,640,depth,"19"""
641,641,width,"3.5"""
642,642,voltage,6 V
643,643,width,120 cm
644,644,wattage,1000W
645,645,voltage,110-50Hz
646,646,depth,"10.2"" (H)"
647,647,height,"10.2"" (H)"
648,648,item_volume,3.5 FT.
649,649,item_weight,600 GB
650,650,voltage,110 Volt
651,651,item_weight,2700K/4000K/6000K
652,652,wattage,2700K/4000K/6000K
653,653,item_weight,5.5 oz
654,654,item_weight,580g
655,655,height,"14.37"""
656,656,width,"27.56"""
657,657,height,40 cm
658,658,width,80 cm
659,659,depth,11CM
660,660,height,44CM
661,661,height,9.8CM
662,662,depth,26cm
663,663,height,26cm
664,664,width,26cm
665,665,depth,47 cm
666,666,item_weight,4.73 grams
667,667,width,53.5 cm
668,668,depth,53.5cm
669,669,maximum_weight_recommendation,300lb
670,670,item_volume,250 mL
671,671,voltage,The image does not provide any information about the voltage of the item.
672,672,item_weight,7.3 oz
673,673,width,17-inch
674,674,depth,12.7 cm
675,675,width,55 cm
676,676,height,39.4 in
677,677,voltage,120V
678,678,item_weight,1.70Z (48g)
679,679,height,47.24 inches
680,680,depth,7.6 cm
681,681,height,7.6 cm
682,682,depth,4.7 in / 12 cm
683,683,width,4.7 in
684,684,item_weight,200 g
685,685,item_volume,750 ml
686,686,voltage,5V
687,687,width,190 cm
688,688,height,27.9 cm
689,689,depth,22.5CM
690,690,item_volume,1000 ml
691,691,depth,14mm
692,692,item_weight,2kg
693,693,depth,68 cm
694,694,height,130 cm
695,695,wattage,20W
696,696,voltage,20V
697,697,depth,18cm
698,698,item_weight,150 g
699,699,item_volume,17 OZ
700,700,item_weight,100g
701,701,item_weight,7.2K
702,702,depth,6 cm
703,703,height,6 cm
704,704,width,6 cm
705,705,height,7.87 inches
706,706,depth,2.67 in / 6.8 cm
707,707,height,180 cm
708,708,height,16.51 in / 42 cm
709,709,depth,6.8 in / 17.3 cm
710,710,width,80 cm
711,711,item_weight,The image does not provide the item_weight of the item.
712,712,item_weight,30g
713,713,height,30 cm
714,714,depth,30 cm
715,715,width,30 cm
716,716,width,36cm
717,717,depth,58.4 cm
718,718,height,17 in
719,719,item_weight,3.00g
720,720,depth,3.5 in
721,721,height,9.0 cm
722,722,item_weight,23 lbs
723,723,wattage,The image does not provide any information about the wattage of the item.
724,724,voltage,The image does not provide any information about the voltage of the item.
725,725,item_weight,0.1KG
726,726,item_weight,10 TB
727,727,item_weight,The item weight is not provided in the image.
728,728,item_weight,The image does not provide any information about the item's weight.
729,729,voltage,25.2 V
730,730,wattage,25.2 W
731,731,width,49.99cm
732,732,height,95.25cm
733,733,width,15CM
734,734,height,150CM
735,735,height,15.5 cm
736,736,depth,15.5 cm
737,737,height,5mm
738,738,depth,8mm
739,739,item_weight,The item weight is not provided in the image.
740,740,item_volume,16 FL OZ (473 ml)
741,741,width,3.5 in
742,742,depth,3.5 in
743,743,depth,"12"""
744,744,wattage,400W
745,745,voltage,400W
746,746,item_weight,38 OZ (1.36 LB)
747,747,height,35mm
748,748,depth,0.5mm
749,749,depth,27.9 cm
750,750,height,27.9 cm
751,751,maximum_weight_recommendation,275lbs
752,752,height,"5.99"""
753,753,height,5.9 in / 15.0 cm
754,754,depth,3.9 in
755,755,depth,0.7 in
756,756,width,0.7 in
757,757,depth,24 cm
758,758,height,24 cm
759,759,width,24 cm
760,760,item_weight,1.15 oz (36.6 g)
761,761,item_weight,40 kWWh/1000h
762,762,voltage,40kWh/1000h
763,764,width,59.94cm
764,765,item_volume,4 F.O.Z. (118.56 ml)
765,766,width,199 cm
766,767,depth,3.9 in / 10 cm
767,768,height,3.9 in / 10 cm
768,769,depth,38 inches
769,770,width,38 inches
770,771,height,38 inches
771,772,wattage,1000W
772,773,voltage,110V
773,774,item_weight,The image does not provide any information regarding the item's weight.
774,775,wattage,51 Watts
775,776,item_weight,51 Watts
776,777,voltage,51 Watts
777,778,width,3.4cm
778,779,voltage,144-169V
779,780,wattage,144W
780,781,item_weight,0.219 lbs
781,782,width,162mm
782,783,depth,81mm / 3.18inch
783,784,maximum_weight_recommendation,500 lbs
784,785,width,47 cm
785,786,depth,19 in
786,787,height,19 in
787,788,item_weight,1.7kg
788,789,depth,3.8 in
789,790,height,3.8 in
790,791,width,3.8 in
791,792,depth,5.1 in / 13 cm
792,793,height,5.1 in / 13 cm
793,794,depth,15.35 in / 39 cm
794,795,width,15.35 in
795,796,voltage,230V 250V
796,797,depth,12cm
797,798,height,12cm
798,799,width,12cm
799,800,voltage,13.3V
800,801,depth,"22"""
801,802,width,"22"""
802,803,height,"30"""
803,804,height,26 in
804,805,depth,26 in
805,806,width,26 in
806,807,height,12 in
807,808,width,28.5cm
808,809,wattage,46 Watts
809,810,voltage,46 Watts
810,811,item_weight,2486 Cubic Feet Per Minute
811,812,item_weight,2.45 oz
812,813,depth,31CM
813,814,width,31CM
814,815,item_volume,250ml
815,816,wattage,49 Watts (Exc. Lights)
816,817,item_weight,49 Watts (Excl. Lights)
817,818,voltage,49 Watts (Exc. Lights)
818,819,item_weight,0.25 lb
819,820,height,60 cm
820,821,depth,120mm
821,822,width,60 cm
822,823,voltage,12V
823,824,wattage,50W
824,825,maximum_weight_recommendation,20 lbs / 9.1 kg
825,826,height,"3.5"""
826,827,depth,"2.25"""
827,828,height,45 cm
828,829,maximum_weight_recommendation,400 lb
829,830,item_weight,The item weight is not explicitly mentioned in the image.
830,831,item_volume,1.5 liters
831,832,depth,7.5CM
832,833,maximum_weight_recommendation,150 lbs
833,834,item_weight,1g
834,835,height,1 inch
835,836,depth,"2"""
836,837,width,25mm
837,838,height,25mm
838,839,depth,25mm
839,840,height,19.7 in
840,841,width,75 cm
841,842,item_weight,117g
842,843,item_weight,12.7 oz
843,844,item_weight,16 OZ (454g)
844,845,wattage,The image does not provide any information about the wattage of the item.
845,846,voltage,12V
846,847,width,57 cm
847,848,item_weight,4.5 kg
848,849,item_volume,1200ML
849,850,voltage,220-240V
850,851,wattage,200 W
851,852,item_weight,15g
852,853,height,11.7 cm
853,854,depth,6.7in
854,855,height,6.7 inches
855,856,width,70 cm
856,857,height,760 cm
857,858,item_weight,24.2lb
858,859,item_volume,17 FL OZ (455ML)
859,860,item_weight,100g
860,861,height,6.0 cm
861,862,maximum_weight_recommendation,300 lbs
862,863,depth,23cm
863,864,height,23 cm
864,865,width,23cm
865,866,depth,8.33 cm
866,867,item_volume,150 ml
867,868,depth,4.5cm
868,869,width,39 in
869,870,depth,5.4CM
870,871,height,5.4CM
871,872,item_weight,305g
872,873,depth,90cm
873,874,height,120cm
874,875,item_weight,10 kg
875,876,height,40.5cm
876,877,height,180 cm
877,878,maximum_weight_recommendation,488g
878,879,width,60 cm
879,880,depth,2.5cm
880,881,width,12.3cm
881,882,item_weight,0.28 OZ
882,883,width,3.14 in
883,884,depth,3.14 in
884,885,item_weight,1 lb (16 oz) 453 g
885,886,wattage,10W
886,887,voltage,100V
887,888,item_weight,12 V
888,889,voltage,12 V
889,890,width,120cm (47.2 inch)
890,891,height,120cm
891,892,depth,120cm
892,893,height,1.38 inch
893,894,depth,1.38 inch
894,895,item_weight,The image does not provide any information regarding the item's weight.
895,896,depth,247 cm
896,897,height,247 cm
897,898,height,46 cm
898,899,item_weight,750g
899,900,wattage,The image does not provide any information about the wattage of the item.
900,901,height,69 cm
901,902,width,15.5cm
902,903,depth,15.5cm
903,904,item_volume,4 FL OZ (118 mL)
904,905,depth,32cm
905,906,height,167cm
906,907,depth,41 in
907,908,width,41 in
908,909,height,41 in
909,910,depth,65 cm
910,911,height,180 cm
911,912,height,10cm
912,913,voltage,220V
913,914,wattage,"18,000 BTU"
914,915,item_weight,50g
915,916,width,2.75 in
916,917,height,12.9 in / 33 cm
917,918,height,50cm
918,919,depth,3cm
919,920,wattage,"12,000 BTU"
920,921,voltage,220V
921,922,height,90 cm
922,923,width,70.5 cm
923,924,width,30 cm
924,925,maximum_weight_recommendation,The image does not provide a maximum weight recommendation for the item.
925,926,height,60cm
926,927,depth,"18"""
927,928,height,"28.5"""
928,929,width,23 cm
929,930,depth,23 cm
930,931,height,23 cm
931,932,width,30 cm
932,933,voltage,160g
933,934,wattage,1200W
934,935,voltage,120V
935,936,item_weight,The image does not provide the item_weight of the baseball leg guard.
936,937,height,30cm/11.82in
937,938,depth,18cm
938,939,item_weight,1.00 oz
939,940,voltage,120V
940,941,wattage,The image does not provide any information about the wattage of the item.
941,942,item_weight,The item weight is not provided in the image.
942,943,voltage,The image does not provide any information about the voltage of the item.
943,944,height,7.8 in
944,945,height,3 in / 7.5 cm
945,946,width,"36"""
946,947,maximum_weight_recommendation,17.5 lbs
947,948,item_weight,2.1 kg
948,949,width,1.18 in
949,950,depth,1.18 in / 3 cm
950,951,depth,5.9 in / 15 cm
951,952,height,5.9 in / 15 cm
952,953,depth,50 cm
953,954,width,50 cm
954,955,height,35.5 cm
955,956,width,35.5 cm
956,957,width,190.37mm
957,958,depth,107.5mm
958,959,width,185mm
959,960,depth,185mm
960,961,depth,3.5cm
961,962,height,3.5cm
962,963,height,28cm/11.0inch
963,964,depth,11.0 inch
964,965,width,28cm
965,966,height,3.9 inches
966,967,depth,3.9 in / 10 cm
967,968,voltage,120V
968,969,wattage,117 watts
969,970,depth,1.37 in
970,971,maximum_weight_recommendation,The image does not provide a maximum weight recommendation for the item.
971,972,maximum_weight_recommendation,30 lbs
972,973,depth,2.75in
973,974,width,2.75in
974,975,height,3.9 inches
975,976,maximum_weight_recommendation,10LBS
976,977,width,6.7 in
977,978,depth,6.7 in
978,979,item_weight,9 OZ
979,980,item_volume,80ml
980,981,item_weight,NET WT 10 OZ (283 g)
981,982,depth,1.9 in / 5.0 cm
982,983,height,2.7 in / 7.0 cm
983,984,width,"88.6"""
984,985,width,152.4cm
985,986,item_volume,250 ml
